path,layer,module,kind,func_name,complexity,suggestion,line,note
src/backend/core/services/__init__.py,core,src.backend.services.core.base_external_api,eager,,hard,re-export-or-facade,21,
src/backend/core/services/base.py,core,src.backend.services.core.base_external_api,eager,,moderate,facade-needed,8,
src/backend/core/services/base_service.py,core,src.backend.services.core.base,eager,,moderate,facade-needed,19,
src/backend/core/workflow/__init__.py,core,src.backend.infrastructure.workflow.factory,lazy,__getattr__,trivial,migrate-top-level,27,
src/backend/entrypoints/_action_bridge.py,entrypoints,src.backend.dsl.service,lazy,dispatch_action_or_dsl,trivial,migrate-top-level,124,
src/backend/entrypoints/api/generator/actions/__init__.py,entrypoints,src.backend.dsl.commands.action_registry,eager,,hard,re-export-or-facade,13,
src/backend/entrypoints/api/generator/actions/crud/__init__.py,entrypoints,src.backend.dsl.commands.action_registry,eager,,hard,re-export-or-facade,23,
src/backend/entrypoints/api/generator/auto_register.py,entrypoints,src.backend.dsl.commands.action_registry,eager,,moderate,facade-needed,47,
src/backend/entrypoints/api/generator/registry.py,entrypoints,src.backend.dsl.commands.action_registry,eager,,moderate,facade-needed,6,
src/backend/entrypoints/api/generator/setup.py,entrypoints,src.backend.workflows.workflows_service,eager,,moderate,facade-needed,12,
src/backend/entrypoints/api/v1/endpoints/admin_parallelism.py,entrypoints,src.backend.dsl.analysis.parallelism_analyzer,lazy,parallelism_report,trivial,migrate-top-level,37,
src/backend/entrypoints/api/v1/endpoints/admin_parallelism.py,entrypoints,src.backend.dsl.route_loader.registry,lazy,parallelism_report,trivial,migrate-top-level,40,
src/backend/entrypoints/api/v1/endpoints/admin_workflow_versioning.py,entrypoints,src.backend.dsl.workflow.versioning,lazy,get_workflow_history,trivial,migrate-top-level,88,
src/backend/entrypoints/api/v1/endpoints/admin_workflows/helpers.py,entrypoints,src.backend.dsl.commands.registry,lazy,_trigger_via_action_or_store,trivial,migrate-top-level,150,
src/backend/entrypoints/api/v1/endpoints/dsl_console.py,entrypoints,src.backend.dsl.engine.dry_run,lazy,dry_run,trivial,migrate-top-level,275,
src/backend/entrypoints/api/v1/endpoints/dsl_console.py,entrypoints,src.backend.dsl.engine.execution_engine,lazy,execute_inline,trivial,migrate-top-level,194,
src/backend/entrypoints/api/v1/endpoints/dsl_console.py,entrypoints,src.backend.dsl.yaml_loader,lazy,execute_inline,trivial,migrate-top-level,190,
src/backend/entrypoints/api/v1/endpoints/dsl_routes.py,entrypoints,src.backend.dsl.engine.pipeline,eager,,moderate,facade-needed,35,
src/backend/entrypoints/api/v1/endpoints/dsl_routes.py,entrypoints,src.backend.dsl.engine.tracer,eager,,moderate,facade-needed,36,
src/backend/entrypoints/api/v1/endpoints/dsl_routes.py,entrypoints,src.backend.dsl.yaml_loader,eager,,moderate,facade-needed,37,
src/backend/entrypoints/api/v1/endpoints/dsl_routes.py,entrypoints,src.backend.dsl.yaml_store,eager,,moderate,facade-needed,38,
src/backend/entrypoints/api/v1/endpoints/health.py,entrypoints,src.backend.dsl.commands.registry,lazy,startup_probe,trivial,migrate-top-level,170,
src/backend/entrypoints/api/v1/endpoints/imports.py,entrypoints,src.backend.dsl.builder,lazy,_import_process_schema,trivial,migrate-top-level,226,
src/backend/entrypoints/api/v1/endpoints/imports.py,entrypoints,src.backend.dsl.engine.execution_engine,lazy,_import_bulk_objects,trivial,migrate-top-level,313,
src/backend/entrypoints/api/v1/endpoints/imports.py,entrypoints,src.backend.dsl.engine.pipeline_registry,lazy,_import_bulk_objects,trivial,migrate-top-level,314,
src/backend/entrypoints/api/v1/endpoints/processors_catalog.py,entrypoints,src.backend.dsl.builder,lazy,_collect_builder_methods,trivial,migrate-top-level,130,
src/backend/entrypoints/api/v1/endpoints/processors_catalog.py,entrypoints,src.backend.dsl.engine.processors,lazy,_collect_processors,trivial,migrate-top-level,40,
src/backend/entrypoints/base.py,entrypoints,src.backend.dsl.commands.registry,eager,,moderate,facade-needed,32,
src/backend/entrypoints/email/imap_monitor.py,entrypoints,src.backend.dsl.service,eager,,moderate,facade-needed,24,
src/backend/entrypoints/filewatcher/watcher_manager.py,entrypoints,src.backend.dsl.service,eager,,moderate,facade-needed,24,
src/backend/entrypoints/graphql/auto_schema.py,entrypoints,src.backend.dsl.commands.action_registry,lazy,build_auto_strawberry_schema,trivial,migrate-top-level,140,
src/backend/entrypoints/graphql/schema.py,entrypoints,src.backend.dsl.commands.registry,eager,,moderate,facade-needed,45,
src/backend/entrypoints/graphql/schema.py,entrypoints,src.backend.dsl.engine.tracer,eager,,moderate,facade-needed,46,
src/backend/entrypoints/graphql/schema.py,entrypoints,src.backend.dsl.registry,eager,,moderate,facade-needed,47,
src/backend/entrypoints/graphql/schema.py,entrypoints,src.backend.dsl.service,eager,,moderate,facade-needed,48,
src/backend/entrypoints/grpc/auto_servicer.py,entrypoints,src.backend.dsl.commands.action_registry,lazy,_build_servicer_class,trivial,migrate-top-level,218,
src/backend/entrypoints/mcp/mcp_server/__init__.py,entrypoints,src.backend.dsl.commands.registry,lazy,register_mcp_tools,trivial,migrate-top-level,108,
src/backend/entrypoints/mcp/mcp_server/helpers.py,entrypoints,src.backend.dsl.commands.registry,lazy,_action_input_schema_json,trivial,migrate-top-level,37,
src/backend/entrypoints/mcp/mcp_server/tools_convert.py,entrypoints,src.backend.dsl.engine.processors.converters,lazy,_register_convert_tools,trivial,migrate-top-level,39,
src/backend/entrypoints/mcp/mcp_server/tools_route.py,entrypoints,src.backend.dsl.engine.execution_engine,lazy,_register_route_tools,trivial,migrate-top-level,63,
src/backend/entrypoints/mcp/mcp_server/tools_route.py,entrypoints,src.backend.dsl.registry,lazy,_register_route_tools,trivial,migrate-top-level,37,
src/backend/entrypoints/mcp/mcp_server/tools_system.py,entrypoints,src.backend.dsl.commands.registry,lazy,_register_system_tools,trivial,migrate-top-level,35,
src/backend/entrypoints/mcp/mcp_server/tools_system.py,entrypoints,src.backend.dsl.engine,lazy,_register_system_tools,trivial,migrate-top-level,72,
src/backend/entrypoints/mcp/mcp_server/tools_template.py,entrypoints,src.backend.dsl,lazy,_register_template_tools,trivial,migrate-top-level,93,
src/backend/entrypoints/mcp/mcp_server/tools_template.py,entrypoints,src.backend.dsl.templates_library,lazy,_register_template_tools,trivial,migrate-top-level,38,
src/backend/entrypoints/mcp/mcp_server/tools_yaml.py,entrypoints,src.backend.dsl.registry,lazy,_register_yaml_tools,trivial,migrate-top-level,36,
src/backend/entrypoints/mcp/mcp_server/tools_yaml.py,entrypoints,src.backend.dsl.yaml_loader,lazy,_register_yaml_tools,trivial,migrate-top-level,70,
src/backend/entrypoints/mcp/namespaces/ai_mcp.py,entrypoints,src.backend.dsl.commands.registry,lazy,register_ai_tools,trivial,migrate-top-level,25,
src/backend/entrypoints/mcp/namespaces/analytics_mcp.py,entrypoints,src.backend.dsl.commands.registry,lazy,register_analytics_tools,trivial,migrate-top-level,22,
src/backend/entrypoints/mcp/namespaces/credit_mcp.py,entrypoints,src.backend.dsl.commands.registry,lazy,register_credit_tools,trivial,migrate-top-level,22,
src/backend/entrypoints/mcp/namespaces/system_mcp.py,entrypoints,src.backend.dsl.commands.registry,lazy,register_system_tools,trivial,migrate-top-level,26,
src/backend/entrypoints/mcp/workflow_tools.py,entrypoints,src.backend.dsl.commands.registry,lazy,_trigger_and_maybe_wait,trivial,migrate-top-level,178,
src/backend/entrypoints/middlewares/admin_ip.py,entrypoints,src.backend.dsl.codec.converters,eager,,moderate,facade-needed,25,
src/backend/entrypoints/middlewares/api_key.py,entrypoints,src.backend.dsl.codec.converters,eager,,moderate,facade-needed,31,
src/backend/entrypoints/mqtt/mqtt_handler.py,entrypoints,src.backend.dsl.commands.registry,lazy,_handle_message,trivial,migrate-top-level,147,
src/backend/entrypoints/soap/soap_handler.py,entrypoints,src.backend.dsl.commands.registry,eager,,moderate,facade-needed,30,
src/backend/entrypoints/soap/soap_handler.py,entrypoints,src.backend.dsl.service,eager,,moderate,facade-needed,31,
src/backend/entrypoints/webhook/handler.py,entrypoints,src.backend.dsl.codec.json,lazy,send_webhook_event,trivial,migrate-top-level,234,
src/backend/entrypoints/webhook/handler.py,entrypoints,src.backend.dsl.engine.processors.scraping,lazy,create_subscription,trivial,migrate-top-level,90,
src/backend/entrypoints/websocket/ws_handler.py,entrypoints,src.backend.dsl.service,eager,,moderate,facade-needed,34,
src/backend/infrastructure/cache/rag/semantic.py,infrastructure,src.backend.services.ai.embedding_providers,lazy,_ensure_embedder,trivial,migrate-top-level,59,
src/backend/infrastructure/clients/external/cdc/client.py,infrastructure,src.backend.dsl.commands.registry,lazy,_dispatch_change,trivial,migrate-top-level,205,
